ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1346266,AALERUD Katrine,F,26,NA,NA,Norway,NOR,2020 Summer,2020,Summer,Tokyo,Cycling Road,Women's Road Race,NA
1346266,AALERUD Katrine,F,26,NA,NA,Norway,NOR,2020 Summer,2020,Summer,Tokyo,Cycling Road,Women's Individual Time Trial,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,NA
1355250,ABAD Nestor,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Team,NA
1321381,ABAGNALE Giovanni,M,26,NA,NA,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Rowing,Men's Pair Team,NA
1322233,ABALDE Alberto,M,25,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Basketball,Men Team,NA
1322271,ABALDE Tamara,F,32,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Basketball,Women Team,NA
1350409,ABALO Luc,M,36,NA,NA,France,FRA,2020 Summer,2020,Summer,Tokyo,Handball,Men Team,Gold
1309960,ABAROA Cesar,M,24,NA,NA,Chile,CHI,2020 Summer,2020,Summer,Tokyo,Rowing,Lightweight Men's Double Sculls Team,NA
1344792,ABASS Abobakr,M,22,NA,NA,Sudan,SUD,2020 Summer,2020,Summer,Tokyo,Swimming,Men's 100m Breaststroke,NA
1331787,ABBAGNALE Vincenzo,M,28,NA,NA,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Rowing,Men's Pair Team,NA
1284763,ABBASALI Hamideh,F,31,NA,NA,Iran,IRI,2020 Summer,2020,Summer,Tokyo,Karate,Women's Kumite +61kg,NA
1433032,ABBASOV Islam,M,25,NA,NA,Azerbaijan,AZE,2020 Summer,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 87kg,NA
1456949,ABBINGH Lois,F,28,NA,NA,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Handball,Women Team,NA
1349883,ABBOT Emily,F,24,NA,NA,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Rhythmic Gymnastics,Group All-Around Team,NA
1310126,ABBOTT Monica,F,36,NA,NA,United States,USA,2020 Summer,2020,Summer,Tokyo,Baseball/Softball,Softball Team,Silver
1328854,ABDALLA Abubaker Haydar,M,24,NA,NA,Qatar,QAT,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 800m,NA
1898618,ABDALRASOOL Mohamed,M,28,NA,NA,Sudan,SUD,2020 Summer,2020,Summer,Tokyo,Judo,Men -73 kg,NA
1306332,ABDEL LATIF Radwa,F,31,NA,NA,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Shooting,10m Air Pistol Women,NA
